"Date(UTC)","UnixTimeStamp","Value"
"2/8/2021","1612742400","1275364"
"2/9/2021","1612828800","1659274"
"2/10/2021","1612915200","1679515"
"2/11/2021","1613001600","1707447"
"2/12/2021","1613088000","1501907"
"2/13/2021","1613174400","1259752"
"2/14/2021","1613260800","1661650"
"2/15/2021","1613347200","1607007"
"2/16/2021","1613433600","1928846"
"2/17/2021","1613520000","2124520"
"2/18/2021","1613606400","2481692"
"2/19/2021","1613692800","3222127"
"2/20/2021","1613779200","2844592"
"2/21/2021","1613865600","2336773"
"2/22/2021","1613952000","2642661"
"2/23/2021","1614038400","2707567"
"2/24/2021","1614124800","2671457"
"2/25/2021","1614211200","2770274"
"2/26/2021","1614297600","2823391"
"2/27/2021","1614384000","2559463"
"2/28/2021","1614470400","2415306"
"3/1/2021","1614556800","2516547"
"3/2/2021","1614643200","2557374"
"3/3/2021","1614729600","2233572"
"3/4/2021","1614816000","2705769"
"3/5/2021","1614902400","2298737"
"3/6/2021","1614988800","2063146"
"3/7/2021","1615075200","2335566"
"3/8/2021","1615161600","2201395"
"3/9/2021","1615248000","2368350"
"3/10/2021","1615334400","2610651"
"3/11/2021","1615420800","2930895"
"3/12/2021","1615507200","2749740"
"3/13/2021","1615593600","2458323"
"3/14/2021","1615680000","2554382"
"3/15/2021","1615766400","2916566"
"3/16/2021","1615852800","3726576"
"3/17/2021","1615939200","2721126"
"3/18/2021","1616025600","3209757"
"3/19/2021","1616112000","2857630"
"3/20/2021","1616198400","2653992"
"3/21/2021","1616284800","2530343"
"3/22/2021","1616371200","2762747"
"3/23/2021","1616457600","2745092"
"3/24/2021","1616544000","3238655"
"3/25/2021","1616630400","3229855"
"3/26/2021","1616716800","3022243"
"3/27/2021","1616803200","2691589"
"3/28/2021","1616889600","2643295"
"3/29/2021","1616976000","2904177"
"3/30/2021","1617062400","2952577"
"3/31/2021","1617148800","3017773"
"4/1/2021","1617235200","3232850"
"4/2/2021","1617321600","3650609"
"4/3/2021","1617408000","3485821"
"4/4/2021","1617494400","3425302"
"4/5/2021","1617580800","3906615"
"4/6/2021","1617667200","3589726"
"4/7/2021","1617753600","4026198"
"4/8/2021","1617840000","4995155"
"4/9/2021","1617926400","4626336"
"4/10/2021","1618012800","4326527"
"4/11/2021","1618099200","4147671"
"4/12/2021","1618185600","4862869"
"4/13/2021","1618272000","4386949"
"4/14/2021","1618358400","3874057"
"4/15/2021","1618444800","4737269"
"4/16/2021","1618531200","4682570"
"4/17/2021","1618617600","4756436"
"4/18/2021","1618704000","5089019"
"4/19/2021","1618790400","6012022"
"4/20/2021","1618876800","8165937"
"4/21/2021","1618963200","9131356"
"4/22/2021","1619049600","7184053"
"4/23/2021","1619136000","7273664"
"4/24/2021","1619222400","8569991"
"4/25/2021","1619308800","7209781"
"4/26/2021","1619395200","8198130"
"4/27/2021","1619481600","8031619"
"4/28/2021","1619568000","7569117"
"4/29/2021","1619654400","8432251"
"4/30/2021","1619740800","7562791"
"5/1/2021","1619827200","7301707"
"5/2/2021","1619913600","8471343"
"5/3/2021","1620000000","9168054"
"5/4/2021","1620086400","7825832"
"5/5/2021","1620172800","7894713"
"5/6/2021","1620259200","8387861"
"5/7/2021","1620345600","8829010"
"5/8/2021","1620432000","8431492"
"5/9/2021","1620518400","9713722"
"5/10/2021","1620604800","8636914"
"5/11/2021","1620691200","9216600"
"5/12/2021","1620777600","10352549"
"5/13/2021","1620864000","10281181"
"5/14/2021","1620950400","11838329"
"5/15/2021","1621036800","10929049"
"5/16/2021","1621123200","9708079"
"5/17/2021","1621209600","8935913"
"5/18/2021","1621296000","8820468"
"5/19/2021","1621382400","10091497"
"5/20/2021","1621468800","10351161"
"5/21/2021","1621555200","7818616"
"5/22/2021","1621641600","5697892"
"5/23/2021","1621728000","6817034"
"5/24/2021","1621814400","5375072"
"5/25/2021","1621900800","5112472"
"5/26/2021","1621987200","5101180"
"5/27/2021","1622073600","7202756"
"5/28/2021","1622160000","5298088"
"5/29/2021","1622246400","4623181"
"5/30/2021","1622332800","4497140"
"5/31/2021","1622419200","4718434"
"6/1/2021","1622505600","5213790"
"6/2/2021","1622592000","5297577"
"6/3/2021","1622678400","5090036"
"6/4/2021","1622764800","4896962"
"6/5/2021","1622851200","4831790"
"6/6/2021","1622937600","4447832"
"6/7/2021","1623024000","5111410"
"6/8/2021","1623110400","4418905"
"6/9/2021","1623196800","4404475"
"6/10/2021","1623283200","4458997"
"6/11/2021","1623369600","4395032"
"6/12/2021","1623456000","3939745"
"6/13/2021","1623542400","4148193"
"6/14/2021","1623628800","4380135"
"6/15/2021","1623715200","4687817"
"6/16/2021","1623801600","5068875"
"6/17/2021","1623888000","5389572"
"6/18/2021","1623974400","5497313"
"6/19/2021","1624060800","4191386"
"6/20/2021","1624147200","3664078"
"6/21/2021","1624233600","4501251"
"6/22/2021","1624320000","4464987"
"6/23/2021","1624406400","3663964"
"6/24/2021","1624492800","3720984"
"6/25/2021","1624579200","3756596"
"6/26/2021","1624665600","3150531"
"6/27/2021","1624752000","3207004"
"6/28/2021","1624838400","3608351"
"6/29/2021","1624924800","3623568"
"6/30/2021","1625011200","3354675"
"7/1/2021","1625097600","3625071"
"7/2/2021","1625184000","3371337"
"7/3/2021","1625270400","3140414"
"7/4/2021","1625356800","3835922"
"7/5/2021","1625443200","3843328"
"7/6/2021","1625529600","3986674"
"7/7/2021","1625616000","3800822"
"7/8/2021","1625702400","3531556"
"7/9/2021","1625788800","3687574"
"7/10/2021","1625875200","3463085"
"7/11/2021","1625961600","3232655"
"7/12/2021","1626048000","3790167"
"7/13/2021","1626134400","3392174"
"7/14/2021","1626220800","3695845"
"7/15/2021","1626307200","4108064"
"7/16/2021","1626393600","3727662"
"7/17/2021","1626480000","3738170"
"7/18/2021","1626566400","3985328"
"7/19/2021","1626652800","4884864"
"7/20/2021","1626739200","5242564"
"7/21/2021","1626825600","5428571"
"7/22/2021","1626912000","6043254"
"7/23/2021","1626998400","7539219"
"7/24/2021","1627084800","8604350"
"7/25/2021","1627171200","9193535"
"7/26/2021","1627257600","11128894"
"7/27/2021","1627344000","11918068"
"7/28/2021","1627430400","12924072"
"7/29/2021","1627516800","13173787"
"7/30/2021","1627603200","10447918"
"7/31/2021","1627689600","9539531"
"8/1/2021","1627776000","9802667"
"8/2/2021","1627862400","9347215"
"8/3/2021","1627948800","9102555"
"8/4/2021","1628035200","9006191"
"8/5/2021","1628121600","8972353"
"8/6/2021","1628208000","8318454"
"8/7/2021","1628294400","8305274"
"8/8/2021","1628380800","8608085"
"8/9/2021","1628467200","8346474"
"8/10/2021","1628553600","8111912"
"8/11/2021","1628640000","10004370"
"8/12/2021","1628726400","7665571"
"8/13/2021","1628812800","6768179"
"8/14/2021","1628899200","5923114"
"8/15/2021","1628985600","6591807"
"8/16/2021","1629072000","7144459"
"8/17/2021","1629158400","6944741"
"8/18/2021","1629244800","6812259"
"8/19/2021","1629331200","10105142"
"8/20/2021","1629417600","8436151"
"8/21/2021","1629504000","8496102"
"8/22/2021","1629590400","7009559"
"8/23/2021","1629676800","6353504"
"8/24/2021","1629763200","5325125"
"8/25/2021","1629849600","5147963"
"8/26/2021","1629936000","5828835"
